Loading vocab...
token_vocab: 4521, post_vocab: 160, pos_vocab: 46, dep_vocab: 42, pol_vocab: 3
cuda memory allocated: 7069696
n_trainable_params: 395673, n_nontrainable_params: 1356300
training arguments:
>>> model_name: text-gt
>>> dataset: restaurant
>>> optimizer: <class 'torch.optim.adam.Adam'>
>>> initializer: <function xavier_uniform_ at 0x7f9714bae3a0>
>>> learning_rate: 0.001
>>> num_epoch: 50
>>> batch_size: 16
>>> log_step: 5
>>> embed_dim: 300
>>> post_dim: 60
>>> pos_dim: 30
>>> deprel_dim: 30
>>> hidden_dim: 60
>>> num_layers: 8
>>> polarities_dim: 3
>>> input_dropout: 0.7
>>> lower: True
>>> directed: False
>>> add_self_loop: True
>>> bidirect: True
>>> rnn_hidden: 60
>>> rnn_layers: 1
>>> rnn_dropout: 0.1
>>> max_length: 85
>>> device: cuda:0
>>> seed: 1000
>>> weight_decay: 0.0001
>>> vocab_dir: ./dataset/Restaurants_corenlp
>>> pad_id: 0
>>> graph_conv_type: gin
>>> graph_conv_attention_heads: 4
>>> graph_conv_attn_dropout: 0.0
>>> ffn_dropout: 0.4
>>> attention_heads: 4
>>> attn_dropout: 0.2
>>> norm: ln
>>> max_position: 9
>>> finetune_weight_decay: 0.01
>>> scheduler: linear
>>> warmup: 2
>>> cuda: 0
>>> pretrained_bert_name: bert-base-uncased
>>> adam_epsilon: 1e-08
>>> bert_dim: 768
>>> bert_dropout: 0.3
>>> bert_lr: 2e-05
>>> model_class: <class 'models.text_gt.TextGT'>
>>> dataset_file: {'train': './dataset/Restaurants_corenlp/train.json', 'test': './dataset/Restaurants_corenlp/test.json'}
>>> inputs_cols: ['text', 'aspect', 'pos', 'head', 'deprel', 'post', 'mask', 'length', 'adj']
>>> post_size: 160
>>> pos_size: 46
>>> deprel_size: 42
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 0
loss: 1.1336, acc: 0.5461, test_acc: 0.6586, f1: 0.5532
loss: 0.9734, acc: 0.5433, test_acc: 0.4638, f1: 0.3986
loss: 0.8235, acc: 0.5422, test_acc: 0.7122, f1: 0.6496
loss: 0.9243, acc: 0.5442, test_acc: 0.7578, f1: 0.6389
>> saved: ./state_dict/text-gt_restaurant_acc_0.7659_f1_0.6544
loss: 1.0626, acc: 0.5446, test_acc: 0.7659, f1: 0.6544
loss: 1.1185, acc: 0.5422, test_acc: 0.6506, f1: 0.5554
loss: 1.1790, acc: 0.5426, test_acc: 0.6577, f1: 0.5942
loss: 0.8899, acc: 0.5444, test_acc: 0.7525, f1: 0.6578
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 4
loss: 0.8264, acc: 0.6875, test_acc: 0.7605, f1: 0.6053
loss: 0.8221, acc: 0.7188, test_acc: 0.7301, f1: 0.6514
loss: 0.9347, acc: 0.6458, test_acc: 0.7096, f1: 0.6342
loss: 0.6490, acc: 0.6562, test_acc: 0.7355, f1: 0.6592
loss: 1.1398, acc: 0.6250, test_acc: 0.7444, f1: 0.6637
loss: 0.9449, acc: 0.6146, test_acc: 0.7078, f1: 0.6175
loss: 0.5066, acc: 0.6518, test_acc: 0.7221, f1: 0.6275
loss: 0.8197, acc: 0.6562, test_acc: 0.7328, f1: 0.6610
loss: 1.0053, acc: 0.6319, test_acc: 0.7534, f1: 0.6680
>> saved: ./state_dict/text-gt_restaurant_acc_0.7757_f1_0.6808
loss: 0.7175, acc: 0.6500, test_acc: 0.7757, f1: 0.6808
loss: 0.5263, acc: 0.6705, test_acc: 0.7641, f1: 0.6502
loss: 1.4009, acc: 0.6719, test_acc: 0.7578, f1: 0.6600
loss: 1.0084, acc: 0.6490, test_acc: 0.5996, f1: 0.5709
loss: 0.9626, acc: 0.6384, test_acc: 0.7033, f1: 0.6438
>> saved: ./state_dict/text-gt_restaurant_acc_0.7873_f1_0.6765
loss: 0.9049, acc: 0.6333, test_acc: 0.7873, f1: 0.6765
loss: 0.7678, acc: 0.6445, test_acc: 0.7793, f1: 0.6662
loss: 0.7068, acc: 0.6434, test_acc: 0.6917, f1: 0.6429
loss: 0.8185, acc: 0.6389, test_acc: 0.7087, f1: 0.6534
loss: 0.7981, acc: 0.6414, test_acc: 0.7694, f1: 0.6803
loss: 0.5993, acc: 0.6469, test_acc: 0.7551, f1: 0.6821
loss: 0.7543, acc: 0.6458, test_acc: 0.6077, f1: 0.5791
loss: 0.7675, acc: 0.6477, test_acc: 0.6693, f1: 0.6299
loss: 1.0894, acc: 0.6495, test_acc: 0.7605, f1: 0.6349
